Control Number,File Name,File Extension,File Type Category,File Size (bytes),MD5 Hash,SHA256 Hash,Custodian,Custodian Email,Custodian Department,Custodian Org,Narrative Phase,Narrative Phase Name,Processing Folder Path,Virtual Path,Container ID,Container Name,Level,Primary Date,Sort Date,Language,Has Images,Has Natives,OCR Flag,Supported by Viewer,Extracted Text Preview,Images?,OCR Required?,Native Produced?,Redactable?,Analytics Eligible?,Dedup Method,Workflow Stage,Cull Reason,Processing Status,Processing Error Type,Duplicate Spare,ECA Exclusion Reason,Batch Name,Batch Status,Reviewer,Date First Assigned,Responsiveness,Privilege,Privilege Reason,Hot Doc,Issue Tags,Bates Begin,Bates End,Page Count,Production Set,Bates Prefix,Redacted,Redaction Reason,TAR Score,AL Predicted Relevant,Email From,Email From SMTP,Email To,Email To SMTP,Email CC,Email CC SMTP,Email BCC,Email BCC SMTP,Email Subject,Message ID,In Reply To,Date Sent,Date Received,Conversation Topic,Conversation Index,Has Attachments,Attachment Count,Email Thread ID,Email Threading Inclusive,Importance,Parent Document ID,Family ID,Author,Last Modified By,Date Created,Date Last Modified,Title,Company,Word Count,Slide Count,Sheet Names,PDF Author,PDF Creator,PDF Producer,PDF Page Count,Is Encrypted,Is Form,Rsmf/Application,Rsmf/Participants,Rsmf/MessageCount,Rsmf/BeginDate,Rsmf/EndDate,Rsmf/EventCollectionId,Rsmf/HasPlaceholders,Camera Make,Camera Model,Date Taken,GPS Latitude,GPS Longitude,GPS Altitude,GoogleDrive/DocID,GoogleDrive/DocumentType,GoogleDrive/SharedDriveID,Record Type
DOC-0000192,FW: Compliance Escalation — Northwest Or.msg,msg,Email - MSG,139592,80038f26e7ab2ef77b8fd09acc8ceba9,860c7b68dfb68a5fbb8141f07bc4d138ec7375985711d5fd30b1b67b2771a422,Robert Ashton,robert.ashton@mallinckrodt.com,Sales,Mallinckrodt,2,Pressure,\\Collection\Robert_Ashton\2013\03,Mallinckrodt\Robert_Ashton\Email - MSG\DOC-0000192.msg,,,1,2013-03-30 00:00:00,2013-03-30 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] FW: Compliance Escalation — Northwest Order Patterns — Robert Ashton 2013-03-30,Yes,No,Yes,Image Only,Yes,MD5,Pre-Review: Duplicate/NIST,Exact Duplicate,Complete,,Yes,,,,,,,,,No,,,,4,,MNK,No,,,,Robert Ashton,robert.ashton@mallinckrodt.com,Sarah Chen,sarah.chen@mallinckrodt.com,,,,,FW: Compliance Escalation — Northwest Order Patterns,<c68958364f73ab1c.53cc6b95@mallinckrodt.com>,,2013-03-30 00:00:00,2013-03-30 00:30:00,FW: Compliance Escalation — Northwest Order Patterns,192703a7df2e37e7c4fcbb8424aefbea,No,0,,Yes,Low,,FAM-000059,,,2013-03-30,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000376,RE: Override of Cardinal Health Suspicio.msg,msg,Email - MSG,121713,d3dc00ee9203c5d2351d1137d5185b72,da79d6868f06c963e65664ac9e54a1755b429d0e5a239f528037b96979468eae,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,2,Pressure,\\Collection\Michael_Brennan\2014\11,Mallinckrodt\Michael_Brennan\Email - MSG\DOC-0000376.msg,,,1,2014-11-16 00:00:00,2014-11-16 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: Override of Cardinal Health Suspicious Order Flag — Gulf Coast — Michael Brennan 2014-11-16,Yes,No,Yes,Image Only,Yes,MD5,Pre-Review: Duplicate/NIST,Near Duplicate,Complete,,Yes,,,,,,,,,No,,,,5,,MNK,No,,,,Michael Brennan,michael.brennan@mallinckrodt.com,FDA CDER,cder@fda.hhs.gov,,,,,RE: Override of Cardinal Health Suspicious Order Flag — Gulf Coast,<cd35637c234bae09.11310c8b@mallinckrodt.com>,,2014-11-16 00:00:00,2014-11-16 00:22:00,RE: Override of Cardinal Health Suspicious Order Flag — Gulf Coast,604948bea01ed90e6d7168e9705a501c,No,0,THR-000077,No,Normal,,FAM-000253,,,2014-11-16,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000231,RE: Ohio AG Subpoena — Opioid Sales Prac.msg,msg,Email - MSG,179773,bc75ed5399b3207074fa65ce489ac27e,6843a5c38dcd6e9b39d2d74a71a71782d751af9cf9e6debbafe2487f4fdfaf5d,Thomas Bradley,thomas.bradley@mallinckrodt.com,Legal & Compliance,Mallinckrodt,3,Crisis,\\Collection\Thomas_Bradley\2016\02,Mallinckrodt\Thomas_Bradley\Email - MSG\DOC-0000231.msg,,,1,2016-02-22 00:00:00,2016-02-22 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: Ohio AG Subpoena — Opioid Sales Practices — Response Coordination — Thomas Bradley 2016-02-22,Yes,No,Yes,Image Only,Yes,MD5,Pre-Review: Duplicate/NIST,NIST System File,Complete,,Yes,,,,,,,,,No,,,,4,,MNK,No,,,,Thomas Bradley,thomas.bradley@mallinckrodt.com,Patricia Morrison,patricia.morrison@mallinckrodt.com,,,,,RE: Crisis Communications Plan — Opioid Media Inquiries,<fc267da64a640fc1.daf93e99@mallinckrodt.com>,<b795c127630915e1.7071878c@mallinckrodt.com>,2016-02-22 00:00:00,2016-02-22 00:03:00,RE: Ohio AG Subpoena — Opioid Sales Practices — Response Coordination,11d1e7d5db5586423054366b6d8ee559,Yes,4,THR-000043,No,Normal,DOC-0000646,FAM-000219,,,2016-02-22,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0001262,DOC-0001262.pdf,pdf,PDF - Scanned,450291,d9824862cfc21217ae1b545097330a45,69f9ff4e08e42a16806273b3e9669f6ce89f5c90d42161da55194b8abd7de7e4,Thomas Bradley,thomas.bradley@mallinckrodt.com,Legal & Compliance,Mallinckrodt,2,Pressure,\\Collection\Thomas_Bradley\2013\10,Mallinckrodt\Thomas_Bradley\PDF - Scanned\DOC-0001262.pdf,,,1,2013-10-15 00:00:00,2013-10-15 00:00:00,English,Yes,Yes,Yes,Yes,[PDF - Scanned]  — Thomas Bradley 2013-10-15,Yes,Yes,Yes,Image Only,After OCR,SHA256,Pre-Review: Duplicate/NIST,NIST System File,Complete,,Yes,,,,,,,,,No,,,,1,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,,,,,2013-10-15,,,Mallinckrodt Inc.,,,,Thomas Bradley,Microsoft Word,Adobe PDF Library,1,No,No,,,0,,,,No,,,,,,,,,,EDoc
DOC-0001326,DOC-0001326.heic,heic,Image - HEIC,3831255,602797290554903eca8e5d1cbbf6fe15,272ddbc4fc58cd22c69b5d9ee948c42a27a53571c840c79b1fb98afe4d16954a,Sarah Chen,sarah.chen@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Sarah_Chen\2015\12,Mallinckrodt\Sarah_Chen\Image - HEIC\DOC-0001326.heic,,,1,2015-12-18 00:00:00,2015-12-18 00:00:00,English,Yes,Yes,Yes,Yes,[Image - HEIC]  — Sarah Chen 2015-12-18,Yes,Yes,Yes,Image Only,After OCR,SHA256,Pre-Review: Duplicate/NIST,Near Duplicate,Complete,,Yes,,,,,,,,,No,,,,5,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,,,,,2015-12-18,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,Apple,iPhone 13,2015-12-18 00:00:00,,,,,,,EDoc
DOC-0001248,DOC-0001248.pdf,pdf,PDF - Text,1319607,3700e36338bb7df49a28538b85690625,b71247c4b6f338fa6a7deb298b370113d857fa2c218aaac95f70452837780394,Robert Ashton,robert.ashton@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Robert_Ashton\2015\02,Mallinckrodt\Robert_Ashton\PDF - Text\DOC-0001248.pdf,,,1,2015-02-15 00:00:00,2015-02-15 00:00:00,English,Yes,Yes,No,Yes,[PDF - Text]  — Robert Ashton 2015-02-15,Yes,No,Yes,Image Only,Yes,SHA256,Pre-Review: Duplicate/NIST,Below De Minimis,Complete,,Yes,,,,,,,,,No,,,,11,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,,,,,2015-02-15,,,Mallinckrodt Inc.,,,,Robert Ashton,Nuance PDF,Adobe PDF Library,11,No,No,,,0,,,,No,,,,,,,,,,EDoc
DOC-0000385,FW: Compliance Escalation — Northeast Or.msg,msg,Email - MSG,34400,4271441846b1654ac96782fbc4170ebd,df0987e9259b5aea2cabb9ada15dd7c43a38204b2091a7067eb3a98fde7a69b4,Thomas Bradley,thomas.bradley@mallinckrodt.com,Legal & Compliance,Mallinckrodt,2,Pressure,\\Collection\Thomas_Bradley\2013\01,Mallinckrodt\Thomas_Bradley\Email - MSG\DOC-0000385.msg,,,1,2013-01-10 00:00:00,2013-01-10 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] FW: Compliance Escalation — Northeast Order Patterns — Thomas Bradley 2013-01-10,Yes,No,Yes,Image Only,Yes,MD5,Pre-Review: Duplicate/NIST,Exact Duplicate,Complete,,Yes,,,,,,,,,No,,,,4,,MNK,No,,,,Thomas Bradley,thomas.bradley@mallinckrodt.com,Sarah Chen,sarah.chen@mallinckrodt.com,,,,,RE: CONFIDENTIAL — Response to Cardinal Health Fraud Investigation Inquiry,<a7ee2f239e31ecfd.0cb140ed@mallinckrodt.com>,<fe3f566204680a4a.7f3dadbd@mallinckrodt.com>,2013-01-10 00:00:00,2013-01-10 00:11:00,FW: Compliance Escalation — Northeast Order Patterns,09db40a9a793eb811d4c5eb73b906c08,Yes,2,THR-000156,No,Low,DOC-0000400,FAM-000332,,,2013-01-10,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0001210,DOC-0001210.pdf,pdf,PDF - Text,2493280,751d2eb493999743c21c930c0f7323a7,df8798f24d4e2528c4775de9bb4099bf2c2676474dadaaadccdcd16a5cfd5a59,Sarah Chen,sarah.chen@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Sarah_Chen\2015\03,Mallinckrodt\Sarah_Chen\PDF - Text\DOC-0001210.pdf,,,1,2015-03-25 00:00:00,2015-03-25 00:00:00,English,Yes,Yes,No,Yes,[PDF - Text]  — Sarah Chen 2015-03-25,Yes,No,Yes,Image Only,Yes,SHA256,Pre-Review: Duplicate/NIST,Near Duplicate,Complete,,Yes,,,,,,,,,No,,,,8,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,,,,,2015-03-25,,,Mallinckrodt Inc.,,,,Sarah Chen,Adobe Acrobat,Adobe PDF Library,8,No,No,,,0,,,,No,,,,,,,,,,EDoc
DOC-0000282,RE: Ohio AG Subpoena — Opioid Sales Prac.msg,msg,Email - MSG,49276,3068ffdd965afd0f9db402f1c3595dc2,0da261543f46a43a53e2e04726087b53ca226cfe4b4f8f748914741cdabc47ce,Robert Ashton,robert.ashton@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Robert_Ashton\2016\09,Mallinckrodt\Robert_Ashton\Email - MSG\DOC-0000282.msg,,,1,2016-09-30 00:00:00,2016-09-30 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: Ohio AG Subpoena — Opioid Sales Practices — Response Coordination — Robert Ashton 2016-09-30,Yes,No,Yes,Image Only,Yes,MD5,Pre-Review: Duplicate/NIST,NIST System File,Complete,,Yes,,,,,,,,,No,,,,2,,MNK,No,,,,Robert Ashton,robert.ashton@mallinckrodt.com,DEA Diversion Control,diversion@dea.gov,,,,,RE: Ohio AG Subpoena — Opioid Sales Practices — Response Coordination,<cbad3916a1243bea.47b2e24d@mallinckrodt.com>,,2016-09-30 00:00:00,2016-09-30 00:14:00,RE: Ohio AG Subpoena — Opioid Sales Practices — Response Coordination,821df2cfd9fc13b8205f9619df73321d,No,0,THR-000067,No,Low,,FAM-000243,,,2016-09-30,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000044,RE: SOM Records Preservation — June 2015.msg,msg,Email - MSG,109589,6b7a2460604e46cb3712f2d187cdb6a1,c6deb2f0530ac1c7b8ba83684fc777685ebbcca5284bf9625744f59674222167,Lisa Torres,lisa.torres@mallinckrodt.com,Administration,Mallinckrodt,3,Crisis,\\Collection\Lisa_Torres\2015\10,Mallinckrodt\Lisa_Torres\Email - MSG\DOC-0000044.msg,,,1,2015-10-01 00:00:00,2015-10-01 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: SOM Records Preservation — June 2015 — Legal Hold Reminder — Lisa Torres 2015-10-01,Yes,No,Yes,Image Only,Yes,MD5,Pre-Review: Duplicate/NIST,Below De Minimis,Complete,,Yes,,,,,,,,,No,,,,1,,MNK,No,,,,Lisa Torres,lisa.torres@mallinckrodt.com,DEA Diversion Control,diversion@dea.gov,,,,,RE: State AG Investigation — Insys Speaker Program,<914dcfaef10013a7.98a21f1c@mallinckrodt.com>,<589a691e276a7d9a.8f6a201a@mallinckrodt.com>,2015-10-01 00:00:00,2015-10-01 00:24:00,RE: SOM Records Preservation — June 2015 — Legal Hold Reminder,27d415b60d77c5a0e222b6a615bfbe97,Yes,2,THR-000031,Yes,Low,DOC-0000668,FAM-000207,,,2015-10-01,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
